Phenotype,V_g,V_e,h2,lower bound,upper bound,range,count
BM,246288.38143120715,671797.1259925343,0.2682630097520241,2396.625,8025.625,2990.291986093693,2846
BR,0.04871240455023575,0.08559042041419056,0.3627057328327869,0,1,0.8425867907026907,378
CB,0.2823417299290554,1.1269263216503806,0.2003463639246069,1.5,9,2.315587850828018,1082
CM,0.016388118334277862,0.09663182978504829,0.14500199838151873,0,1,0.42830971047154726,378
CT,0.024708476463584723,0.13247452715357866,0.1571955993649603,0,1,0.43227604883704507,571
DF,4.683840139836002,6.108265295158428,0.43400615088953864,36,65,11.73742362678719,9084
DM,12.29841570535377,18.269000469354598,0.4023374313046956,77,123,17.036609623257192,12045
EV,0.06350035834500341,0.7468217589619992,0.0783643405366231,1,9,0.9568302509141349,823
GH,0.16011561331745292,0.15429780311369753,0.5092518478851702,1,3,2.1904360128718166,2558
HB,0.17626084082665436,0.7080709427508428,0.19931528426311276,1,5,1.1169891505587812,388
HI,13.456318578300609,31.53358769172466,0.2990963905889696,24.2,64.8,20.064803220456753,3140
LG,0.24413513740386653,0.4661149328322193,0.34373124007255146,1,5,2.974403827510357,3313
PH,13.759676741407354,42.483088603309,0.2446479410653656,22.5,67,18.148195818419786,2896
RR,0.45510836753785516,3.193213166595978,0.1247445882386857,1,9,2.251478752245795,255
RU,3.2013456932941735,1.9571428153585617,0.6205976203929323,1,9,7.345742611265534,828
SA,0.01733062495521581,0.24080602000780313,0.06713740684782908,1,3,0.3456411788735355,1226
SF,5.583956149641795,17.81194228710788,0.23867243930545792,32,70,12.724537354416949,7544
SW,2339.9072477410255,1076.134547161879,0.6849761765890613,152.71074889852073,601.2749999999996,443.1827665586445,14230
SY,53173.10436690704,222408.6496068266,0.1929485664423745,472.64000000000004,4416.943999999998,1727.191422704143,18227
WM,0.14285172279461883,0.6310408954820457,0.1845885584394471,1,5,2.598898156456476,664
ZN,3.830942645093282,1.3947101728917108,0.733103169791232,1,9,8.955533772937478,140
